age,f.WT,f.CP,f.Y,f.HFYS,S.WT,S.CP,S.MALE.CP,S.Y,S.HFYS
0,0,0,0,0,0.80013,0.76253,0.55,0.78953,0.806
1,0,0,0,0,0.83343,0.79773,0.65,0.83643,0.84743
2,0,0,0,0,0.86673,0.83283,0.75,0.88333,0.88883
3,0,0,0,0,0.9,0.86801,0.86,0.93021,0.93021
4,0,0.1008,0.1008,0.04802,0.9,0.879,0.87,0.9092,0.9092
5,0,0.17955,0.17955,0.1695,0.9,0.888,0.88,0.8951,0.8951
6,0.315,0.26145,0.26145,0.2215,0.9,0.893,0.88,0.8839,0.8839
7,0.315,0.315,0.315,0.2795,0.9,0.898,0.88,0.8746,0.8746
8,0.315,0.315,0.315,0.3285,0.9,0.874,0.8,0.8665,0.8665
9,0.315,0.315,0.315,0.3285,0.9,0.899,0.75,0.8593,0.8593
10,0.315,0.315,0.315,0.3285,0.9,0.893,0.7,0.8527,0.8527
11,0.315,0.315,0.315,0.385,0.9,0.896,0.65,0.8468,0.8468
12,0.315,0.315,0.315,0.385,0.9,0.895,0.6,0.8412,0.8412
13,0.315,0.315,0.315,0.385,0.9,0.895,0.5,0.836,0.836
14,0.315,0.315,0.315,0.385,0.9,0.895,0.4,0.8312,0.8312
15,0.315,0.315,0.315,0.385,0.9,0.895,0.3,0.8266,0.8266
16,0.315,0.315,0.315,0.385,0.9,0.895,0.2,0.8223,0.8223
17,0.315,0.315,0.315,0.257,0.9,0.895,0.2,0.8182,0.8182
18,0.315,0.315,0.315,0.257,0.9,0.895,0.144661595,0.8142,0.8142
19,0.315,0.315,0.315,0.257,0.9,0.895,0.108495673,0.8105,0.8105
20,0.315,0.315,0.315,0.257,0,0.895,0.080520199,0.8069,0.8069
21,0.315,0.315,0.315,0.257,0,0.895,0.059278525,0.8034,0.8034
22,0,0.315,0.315,0,0,0.895,0.043376171,0.8001,0.8001
23,0,0.315,0.315,0,0,0.895,0.031596576,0.7968,0.7968
24,0,0.315,0.315,0,0,0.895,0.022939237,0.7937,0.7937
25,0,0.315,0.315,0,0,0.895,0.016613281,0.7907,0.7907
26,0,0.315,0.315,0,0,0.895,0.012010391,0.7878,0.7878
27,0,0.315,0.315,0,0,0.895,0.008671536,0.785,0.785
28,0,0.315,0.315,0,0,0.895,0.006254997,0.7822,0.7822
29,0,0.315,0.315,0,0,0.895,0.004508824,0.7795,0.7795
30,0,0.315,0.315,0,0,0.895,0.003248526,0.7769,0.7769
31,0,0.315,0.315,0,0,0,0,0,0
